symbol
RELIANCE.NS
TCS.NS
INFY.NS
HDFCBANK.NS
ICICIBANK.NS
SBIN.NS
ITC.NS
LT.NS
HINDUNILVR.NS
BHARTIARTL.NS
AXISBANK.NS
KOTAKBANK.NS
BAJFINANCE.NS
MARUTI.NS
SUNPHARMA.NS
TITAN.NS
ULTRACEMCO.NS
WIPRO.NS
NESTLEIND.NS
POWERGRID.NS
NTPC.NS
ONGC.NS
ADANIENT.NS
ADANIPORTS.NS
TATAMOTORS.NS
TATASTEEL.NS
JSWSTEEL.NS
INDUSINDBK.NS
TECHM.NS
HCLTECH.NS
GRASIM.NS
BAJAJFINSV.NS
BAJAJ-AUTO.NS
DRREDDY.NS
EICHERMOT.NS
CIPLA.NS
COALINDIA.NS
HEROMOTOCO.NS
APOLLOHOSP.NS
BRITANNIA.NS
ASIANPAINT.NS
SHRIRAMFIN.NS
TRENT.NS
BEL.NS
BPCL.NS
HDFCLIFE.NS
SBILIFE.NS
TATACONSUM.NS
DIVISLAB.NS
M&M.NS
